0.35 -0.71 0.06 0.00
0.25 0.66 0.37 0.91
0.20 0.60 0.33 0.94
0.20 0.55 0.31 0.93
0.20 0.55 0.30 0.94
0.20 0.53 0.29 0.93
0.20 0.53 0.29 0.94
0.20 0.61 0.34 0.93
0.05 0.57 0.31 0.94
0.07 0.29 0.13 1.00
0.05 0.20 0.07 1.03
0.05 0.20 0.07 1.03
0.20 0.21 0.08 1.03
0.20 0.47 0.26 0.94
0.25 0.58 0.34 0.88
0.20 0.57 0.31 0.94
0.05 0.55 0.30 0.94
0.05 0.26 0.11 1.01
0.05 0.20 0.07 1.03
0.05 0.22 0.07 1.06
0.20 0.19 0.06 1.03
0.20 0.47 0.26 0.94
0.20 0.52 0.29 0.93
0.20 0.53 0.29 0.94
0.20 0.53 0.29 0.93
0.20 0.53 0.29 0.93
0.20 0.53 0.29 0.93
0.23 0.53 0.31 0.89
0.07 0.58 0.32 0.93
0.05 0.29 0.12 1.03
0.05 0.21 0.07 1.04
0.05 0.19 0.06 1.03
0.05 0.22 0.08 1.04
0.05 0.21 0.07 1.04
0.05 0.18 0.06 1.00
